[info] [2021-12-03T06:20:20.077Z] : Service start.
[warn] [2021-12-03T06:20:20.082Z] : Service start warn.
[error] [2021-12-03T06:20:20.083Z] : Service start error.
[info] [2021-12-03T06:20:58.381Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:58.894Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:59.405Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:59.911Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:00.423Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:00.937Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:01.439Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:01.949Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:02.459Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:02.970Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:03.481Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:03.989Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:04.494Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:05.000Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:05.517Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:06.034Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:06.543Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:07.056Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:07.574Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:08.089Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:08.606Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:09.108Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:09.613Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:10.120Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:10.633Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:11.145Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:11.659Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:12.175Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:12.687Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:13.193Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:13.694Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:14.197Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:14.700Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:15.213Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:15.726Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:16.239Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:16.745Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:17.248Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:17.759Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:18.272Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:18.788Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:19.302Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:19.814Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:20.327Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:20.841Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:21.353Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:21.871Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:22.373Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:22.879Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:23.398Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:23.908Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:24.425Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:24.927Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:25.442Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:25.957Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:26.467Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:26.975Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:27.481Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:27.993Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:28.503Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:29.012Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:29.528Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:30.036Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:30.542Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:31.045Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:31.561Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:32.065Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:32.575Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:33.078Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:33.595Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:34.112Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:34.624Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:35.128Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:35.638Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:36.152Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:36.658Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:37.165Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:37.676Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:38.180Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:38.689Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:39.198Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:39.706Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:40.216Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:40.724Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
